person,x,y
2,334.2,628.1
2,285.6,568.4
2,264.8,511
2,283.9,620.8
2,474,500.7
2,699.8,407
2,878.7,406.2
2,943.6,417.1
2,831.4,198.2
2,736.8,189.2
2,636.4,245.5
2,566.3,116.4
2,540,93.6
2,501.7,686.3
2,409.5,482.8
2,365.8,509
2,342.7,523.2
2,325.3,536.2
2,378.3,535.1
2,257.4,669.8
2,209.6,705.7
2,516.7,418.4
2,788.6,128.7
2,608.2,351.5
2,535.7,603.2
2,552.1,550.2
2,574.4,550.1
2,721.4,528.9
2,818.7,783.8
2,626,640
2,634.1,408.5
2,638.5,365.8
2,634.5,350
2,654.4,278.9
2,717.8,240.7
2,700.8,248.2
2,612.8,230.6
2,497.2,223
2,337.1,196.7
2,220.4,175.8
2,81.1,326.1
2,149.9,346.6
2,590.7,405.5
2,568.8,414.3
2,624.3,374.2
2,391.6,720.5
2,493.5,559.5
2,365.6,735.8
2,722.2,520.6
2,602.5,529.4
2,460.5,731.6
2,494.2,537.4
2,585.9,501.9
2,324,684.6
2,491.8,158.7
2,565.5,347.6
2,768.1,346.8
2,591.7,376.1
2,538.1,480.1
2,641.5,380.3
2,473.2,340.4
2,458.9,278.2
2,463.6,168.1
2,450.7,191.6
2,233,561.7
2,296.6,629.9
2,689.1,539.4
2,786.2,469.7
2,470.4,843.2
2,529.4,723.4
2,632.8,699.5
2,510,244.4
2,658.1,158.6
2,704.8,152.8
2,692.6,195.5
2,555.7,435.8
2,836.6,685.7
2,532.1,481.1
2,408.3,676.8
2,701.7,716.4
2,773.7,720.7
2,493.9,201.2
2,591.1,333.4
2,176.7,351.3
2,769.1,299.3
2,818.3,276.5
2,572.3,410
2,965.1,506.4
2,600,536.8
2,475.8,824.8
2,482.4,657.4
2,451.2,425.2
2,454.2,655.7
2,454.3,794.2
2,448.8,775.8
2,456.1,857.2
2,465.5,843.2
2,473.8,601.3
2,497.4,735.5
2,440.2,264.9
2,581.6,260.8
2,472,105.2
2,108.3,365.1
2,351.5,692.8
2,419.4,717.5
2,253.4,768.8
2,448,911.7
2,401.7,892.1
2,380.2,813.1
2,836.8,461.6
2,818.5,399.3
2,971.7,421.8
2,523.3,630.8
2,335.3,538.5
2,353.4,433.9
2,110.5,663.6
2,225.8,592.9
2,149.2,287.4
2,169.7,201.8
2,508.1,135.7
2,544.5,523.7
2,622.4,669.7
2,519,693.2
2,496.9,896.6
2,426.4,806.1
2,412.6,738.2
2,495.2,258.2
2,525,243
2,509.2,522.9
2,713.5,393.1
2,708,194.5
2,617.8,405.5
2,662.9,569.5
2,610.6,623.6
2,510,663.1
2,302.8,747.6
2,476.8,566.8
2,502.7,549.8
2,571.9,294.6
2,591.3,268
2,554.9,313.3
2,514,362
2,523.1,402.1
2,627.5,549.4
2,633.5,524.8
2,534.5,487.7
2,589.8,568.1
2,449,738.4
2,554.6,773.9
2,544.8,742.2
2,563.9,931.4
2,551.5,947.8
2,530.7,896.1
2,495.5,200.8
