participantNumber, trialNum, TargetPresent, beta, seed, r, phi, respose
6, 1419, 1, 1.7, 28, 150, 270, 1
6, 1420, 1, 1.6, 8, 200, 90, 0
6, 1421, 1, 1.7, 20, 150, 45, 1
6, 1422, 1, 1.65, 12, 250, 270, 0
6, 1423, 1, 1.7, 29, 250, 0, 1
6, 1424, 1, 1.6, 4, 50, 0, 0
6, 1425, 1, 1.7, 26, 300, 45, 1
6, 1426, 1, 1.6, 2, 100, 315, 1
6, 1427, 1, 1.7, 24, 250, 270, 1
6, 1428, 1, 1.6, 9, 150, 0, 0
6, 1429, 1, 1.6, 4, 100, 270, 0
6, 1430, 0, 1.7, 300, NaN, NaN, 0
6, 1431, 1, 1.65, 17, 300, 90, 1
6, 1432, 1, 1.6, 1, 400, 315, 0
6, 1433, 1, 1.65, 19, 100, 315, 1
6, 1434, 1, 1.7, 26, 400, 90, -1
6, 1435, 0, 1.6, 108, NaN, NaN, 0
6, 1436, 1, 1.65, 11, 50, 0, 1
6, 1437, 1, 1.65, 20, 200, 45, 0
6, 1438, 1, 1.6, 6, 250, 270, 0
6, 1439, 0, 1.6, 60, NaN, NaN, 0
6, 1440, 0, 1.65, 144, NaN, NaN, 0
6, 1441, 1, 1.65, 20, 250, 0, 0
6, 1442, 1, 1.6, 1, 400, 180, 0
6, 1443, 1, 1.7, 19, 300, 180, 1
6, 1444, 1, 1.7, 25, 350, 270, 0
6, 1445, 1, 1.6, 10, 100, 270, 1
6, 1446, 0, 1.65, 116, NaN, NaN, 0
6, 1447, 1, 1.7, 20, 400, 45, 0
6, 1448, 1, 1.65, 14, 150, 315, 1
6, 1449, 1, 1.65, 11, 100, 0, 1
6, 1450, 1, 1.6, 9, 150, 225, 0
6, 1451, 1, 1.65, 12, 200, 90, 1
6, 1452, 1, 1.7, 22, 350, 270, 1
6, 1453, 0, 1.6, 41, NaN, NaN, 0
6, 1454, 1, 1.7, 29, 400, 180, 1
6, 1455, 0, 1.6, 90, NaN, NaN, 0
6, 1456, 1, 1.6, 7, 150, 90, 1
6, 1457, 1, 1.7, 20, 400, 0, 0
6, 1458, 1, 1.65, 10, 250, 0, 1
6, 1459, 0, 1.7, 260, NaN, NaN, 0
6, 1460, 0, 1.65, 130, NaN, NaN, 0
6, 1461, 1, 1.7, 24, 400, 0, 1
6, 1462, 0, 1.7, 309, NaN, NaN, 1
6, 1463, 1, 1.6, 4, 400, 90, 0
6, 1464, 1, 1.65, 12, 200, 225, 0
6, 1465, 1, 1.6, 1, 300, 225, 1
6, 1466, 1, 1.6, 3, 250, 180, 1
6, 1467, 1, 1.65, 17, 250, 270, 0
6, 1468, 1, 1.65, 19, 350, 180, 0
6, 1469, 1, 1.65, 14, 50, 180, 1
6, 1470, 1, 1.6, 3, 100, 225, 0
6, 1471, 1, 1.6, 10, 100, 180, 0
6, 1472, 1, 1.65, 19, 200, 45, 0
6, 1473, 1, 1.6, 9, 300, 90, 0
6, 1474, 1, 1.7, 23, 50, 0, 1
6, 1475, 1, 1.65, 10, 350, 315, 1
6, 1476, 1, 1.65, 20, 200, 225, 0
6, 1477, 1, 1.65, 10, 300, 180, 1
6, 1478, 1, 1.7, 25, 300, 225, 0
